ssn,npi,licenseNumber,licenseType,licenseStatus,licenseStatusName,compactEligibility,givenName,middleName,familyName,suffix,dateOfIssuance,dateOfRenewal,dateOfExpiration,dateOfBirth,homeAddressStreet1,homeAddressStreet2,homeAddressCity,homeAddressState,homeAddressPostalCode,emailAddress,phoneNumber
928-00-0000,,,occupational therapist,active,,eligible,Miranda,William,Turner,,1955-11-25,2025-12-10,2026-12-10,1918-05-09,43286 Christopher Meadow,,Thompsonburgh,az,86131,,+11378769780
928-00-0001,,885U-0-4V1,occupational therapist,active,ACTIVE,eligible,Nancy,Mary,Garcia,,2026-07-30,2026-07-30,2027-07-30,1999-05-30,85719 Terry Locks Suite 611,Apt. 670,East Johnton,az,86464,,+13038803608
928-00-0002,,HP742,occupational therapist,active,,eligible,John,Tyler,Schroeder,,1995-10-13,2025-12-14,2026-12-14,1971-01-24,2701 David Walk Apt. 529,,South Brenthaven,az,85947,christie90@example.net,+16099908864
928-00-0003,,-91P8K0W7-213GBE,occupational therapist,active,ACTIVE,eligible,James,Todd,Casey,,2019-06-19,2026-03-18,2027-03-18,1995-04-15,510 Catherine Flats Suite 836,,Gregoryfort,az,86438,,+13952562991
928-00-0004,8259275267,,occupational therapy assistant,active,,eligible,Cathy,Randy,Hansen,,1991-02-24,2026-06-06,2027-06-06,1951-08-22,0653 David Ways,,Davidberg,az,86430,,+19826454572
928-00-0005,,,occupational therapy assistant,active,,eligible,Thomas,Michael,Wilson,,2023-06-22,2026-07-19,2027-07-19,1984-04-27,7083 Sherry Run Apt. 712,Suite 168,Port Scotthaven,az,85855,qcurtis@example.net,+18500801405
928-00-0006,,557GE,occupational therapy assistant,active,,eligible,Cassandra,Erin,Evans,,1971-09-05,2026-02-27,2027-02-27,1948-06-18,96994 Mcdonald Spring Apt. 067,Apt. 029,New Karenfurt,az,85822,smithanthony@example.org,+14387973272
928-00-0007,,,occupational therapy assistant,active,ACTIVE,eligible,Cheryl,Christopher,Ramsey,,1969-01-08,2025-11-26,2026-11-26,1934-05-17,5694 Boyle Run,Apt. 084,East Karafort,az,86142,,+19485218629
928-00-0008,2108892739,,occupational therapy assistant,active,ACTIVE,eligible,Chloe,Lucas,Mann,,2015-12-05,2025-09-08,2026-09-08,1978-01-18,351 Kim Summit Apt. 672,Suite 263,East Roberttown,az,86296,,+14100236230
928-00-0009,,,occupational therapy assistant,active,ACTIVE_IN_RENEWAL,eligible,Ryan,Elizabeth,Johnston,,2026-07-30,2026-07-30,2027-07-30,2018-10-01,120 Felicia Centers,,New Marieshire,az,86081,,+11376570426
928-00-0010,9929259914,0TB31S-0E-UW,occupational therapist,active,,eligible,Katherine,Jose,Davis,DDS,2003-05-10,2026-04-17,2027-04-17,1966-08-02,2753 Lewis Fords,,Jenniferhaven,az,85226,qrodgers@example.net,+11545296406
928-00-0011,6442948180,,occupational therapist,active,,eligible,Angela,Richard,York,,2000-06-29,2026-07-02,2027-07-02,1975-12-29,6597 Cruz Manor Suite 684,Apt. 773,Lake Gabriela,az,86104,hwatson@example.org,+19818275058
928-00-0012,5233348440,,occupational therapist,active,,eligible,April,Jeffery,Beasley,,2026-07-30,2026-07-30,2027-07-30,2019-10-21,9076 Schaefer Valleys Suite 497,Apt. 414,Bakerberg,az,85342,gregory58@example.com,+17340692803
928-00-0013,,N4409X7,occupational therapist,active,,eligible,Judy,Sandra,Johnson,DVM,1989-06-17,2026-06-09,2027-06-09,1955-06-17,0669 Jonathan Knolls Suite 585,Suite 179,Sierrahaven,az,86418,fernandezjoshua@example.org,+13223613312
928-00-0014,5996077246,-8788--M-WTS73W9AO2,occupational therapy assistant,active,ACTIVE,eligible,Sheryl,Lee,Douglas,,1982-06-10,2026-06-27,2027-06-27,1959-10-30,9596 Powers Rue,,New Tamifort,az,85503,,+14929723312
928-00-0015,4556755290,12VWQG0PJ,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Steven,Kylie,Decker,,1945-11-04,2026-01-05,2027-01-05,1918-11-16,959 Francisco Turnpike Apt. 485,,Lake Heatherchester,az,85968,connie23@example.org,+15373091748
928-00-0016,,G9HF50Y9-40,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Toni,Susan,Wells,,1984-07-08,2025-10-20,2026-10-20,1952-06-11,01398 Allen Keys,,Sanfordfort,az,86062,,+14507917253
928-00-0017,8947833933,,occupational therapist,active,,eligible,Devon,Rachel,Mcdaniel,,2026-07-30,2026-07-30,2027-07-30,2006-07-31,1767 Edward Inlet Suite 955,,Woodsburgh,az,85986,richkelly@example.org,+17696407740
928-00-0018,,-N-132,occupational therapy assistant,active,ACTIVE_IN_RENEWAL,eligible,Paula,Meghan,Weiss,,2020-10-06,2026-03-04,2027-03-04,1992-09-22,1465 Bartlett Prairie Suite 357,,New Lindseytown,az,85807,,+19673463083
928-00-0019,5265992766,SW-45B5O5425S67,occupational therapy assistant,active,ACTIVE,eligible,James,Dawn,Wright,,1935-04-11,2026-03-10,2027-03-10,1912-04-14,981 Sara River,Suite 827,Rodneychester,az,86147,,+17080075284
928-00-0020,3180411601,03R-7-3BLIHD334N-6,occupational therapist,active,,eligible,Jessica,Natalie,Macias,,1969-09-20,2026-06-26,2027-06-26,1934-08-02,87729 Andrew Villages Suite 321,,South Marilynmouth,az,85172,clarksara@example.net,+13365297688
928-00-0021,5076968117,,occupational therapy assistant,active,ACTIVE,eligible,Linda,Ruth,Allen,,2026-07-30,2026-07-30,2027-07-30,2010-12-14,012 Patrick Bridge,,Port Caitlyn,az,86045,,+17374617376
928-00-0022,,,occupational therapist,active,,eligible,Hannah,David,Wright,,2026-07-30,2026-07-30,2027-07-30,2021-11-24,46606 Smith Parkway Apt. 178,Apt. 641,Jeremiahborough,az,86346,karendunn@example.com,+11462430391
928-00-0023,,,occupational therapy assistant,active,,eligible,Alejandro,Aaron,Lewis,,1962-02-07,2025-08-11,2026-08-11,1938-12-29,0829 Davis Crest Apt. 344,,Kelleychester,az,85041,,+17974409700
928-00-0024,,,occupational therapist,active,,eligible,Jessica,Nicole,Wilson,DVM,2026-07-30,2026-07-30,2027-07-30,2020-06-07,70193 Williams Shoals Suite 728,Suite 056,South Joshua,az,85005,vvilla@example.net,+11703269507
928-00-0025,8096142406,,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Robert,Jonathan,Skinner,,2016-11-14,2026-07-26,2027-07-26,1989-08-02,61571 Brown Inlet Suite 679,Apt. 497,Lake Kristenstad,az,85702,rhodesmichael@example.com,+16391894034
928-00-0026,5347794756,-9-O7-X7KZ710497-E6-,occupational therapist,active,,eligible,Theresa,Robert,Alvarez,,1992-07-21,2025-12-13,2026-12-13,1958-08-21,6611 Jennifer Curve,,South Jeffreyhaven,az,85088,raymiller@example.net,+18027141097
928-00-0027,,,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Kayla,Michael,Moss,,2026-07-30,2026-07-30,2027-07-30,2022-09-02,66622 Wise Light Apt. 177,Suite 482,Carsonport,az,86167,,+11215685623
928-00-0028,6420619768,,occupational therapist,active,,eligible,Kimberly,Ryan,Rogers,,2019-06-08,2025-12-03,2026-12-03,1981-02-24,691 Campbell Rue Suite 437,Suite 152,Nicoleview,az,85850,,+12740635841
928-00-0029,1529834959,H-M66763-54-4XVV6-,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,David,Dawn,Drake,,2018-06-26,2026-02-01,2027-02-01,1985-02-17,3436 Jordan Isle,,South Jonathon,az,86193,mary67@example.com,+12852653886
